特别提示：
1.本记账单内容可表明支付宝受理了相应记账明细申请，因系统原因或通讯故障等偶发因素导致本记账单与实际记账结果不符时，以实际记账情况为准；
2.请勿将本记账单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作;
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本记账单进行重复记账;
4.本记账单如经任何涂改、编造，均立即失去效力；
5.部分记账如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.禁止将本记账单用于非法用途；
7.本明细仅展示当前记账本中的明细，不包括己删除的记录；
8.本明细仅供个人记账使用。

记录时间,分类,收支类型,金额,备注,账户,来源,标签,
2026-05-19 17:27:50,生活日用,支出,13.20,罗森,招商银行,账单同步,,
2026-05-19 17:03:09,餐饮,支出,35.90,陈香贵（上海普陀我格广场店）,招商银行,账单同步,,
2026-05-19 16:14:50,餐饮,支出,5.00,梅莲农贸市场停车场,招商银行,账单同步,,
2026-05-19 09:29:24,投资理财,不计收支,10.00,蚂蚁财富-摩根纳斯达克100指数(QDII)A-买入,招商银行,账单同步,,
2026-05-19 09:29:21,投资理财,不计收支,100.00,蚂蚁财富-摩根标普500指数(QDII)A-买入,招商银行,账单同步,,
2026-05-18 20:38:56,交通,支出,24.00,上海宝山刘行P+R地面场库-沪E18605-2400-606171166150754306,招商银行,账单同步,,
2026-05-18 18:34:52,餐饮,支出,34.90,塔斯汀中国汉堡,招商银行,账单同步,,
2026-05-18 16:12:30,餐饮,支出,5.00,梅莲农贸市场停车场,招商银行,账单同步,,
2026-05-18 13:55:51,生活日用,支出,5.61,红枫杂货店,招商银行,账单同步,,
2026-05-17 19:22:03,餐饮,支出,8.50,零食很忙,招商银行,账单同步,,
2026-05-17 12:52:14,餐饮,支出,46.00,煌泰泰东林社邻食堂,招商银行,账单同步,,
2026-05-17 12:09:07,爱车,支出,20.00,互联互通停车,招商银行,账单同步,,
2026-05-16 21:41:54,爱车,支出,200.00,加油,招商银行,账单同步,,
2026-05-16 21:09:47,爱车,支出,21.00,龙湖上海北城天街-缴费（沪E18605）,招商银行,账单同步,,
2026-05-16 12:22:07,爱车,支出,21.00,龙湖上海北城天街-缴费（沪E18605）,招商银行,账单同步,,
2026-05-16 12:06:04,餐饮,支出,44.80,塔斯汀中国汉堡,招商银行,账单同步,,
2026-05-15 20:10:46,餐饮,支出,5.00,梅莲农贸市场停车场,,账单同步,,
2026-05-15 16:34:43,爱车,支出,20.00,上海联合大厦三楼停车场-停车费用-沪E18605-20260515PT310107001200000115,招商银行,账单同步,,
2026-05-15 09:19:23,购物,支出,5.26,商户单号XP1226051509100242324354002616,招商银行,账单同步,,
2026-05-14 13:15:37,生活日用,支出,3.80,罗森,招商银行,账单同步,,
2026-05-14 01:59:12,休闲玩乐,支出,6.00,iCloud 由云上贵州运营,招商银行,账单同步,,
2026-05-13 15:13:02,借还款,不计收支,900.00,备用金提现至银行卡,,账单同步,,
2026-05-13 11:00:09,休闲玩乐,支出,30.00,钻石充值,中国银行,账单同步,,
2026-05-13 10:52:31,休闲玩乐,支出,9.83,100钻石,中国银行,账单同步,,
2026-05-13 10:49:16,休闲玩乐,支出,1.00,10钻石,中国银行,账单同步,,
2026-05-13 10:25:59,休闲玩乐,支出,1.00,10钻石,中国银行,账单同步,,
2026-05-13 09:12:08,投资理财,不计收支,10.00,富国上海金ETF联接C-买入,,账单同步,,
2026-05-13 09:03:24,投资理财,不计收支,20.00,蚂蚁财富-国泰CES半导体芯片行业ETF联接E-买入,招商银行,账单同步,,
2026-05-12 17:34:55,借还款,不计收支,90.39,信用卡还款（交通银行尾号6539）,中国银行|交通银行,账单同步,,
2026-05-12 17:21:55,生活日用,支出,6.50,罗森,招商银行,账单同步,,
2026-05-12 16:40:56,餐饮,支出,37.15,稻香世家（我格广场）,招商银行,账单同步,,
2026-05-12 09:30:10,投资理财,不计收支,10.00,蚂蚁财富-摩根纳斯达克100指数(QDII)A-买入,招商银行,账单同步,,
2026-05-12 09:30:07,投资理财,不计收支,100.00,蚂蚁财富-摩根标普500指数(QDII)A-买入,招商银行,账单同步,,
2026-05-11 23:40:30,借还款,不计收支,708.20,借呗还款,招商银行,账单同步,,
2026-05-11 23:40:01,借还款,不计收支,500.00,备用金提现至银行卡,,账单同步,,
2026-05-11 20:35:58,爱车,支出,24.00,龙湖上海北城天街-缴费（沪E18605）,招商银行,账单同步,,
2026-05-11 18:33:50,餐饮,支出,17.00,麻辣串串香,招商银行,账单同步,,
2026-05-11 16:09:21,餐饮,支出,5.00,梅莲农贸市场停车场,招商银行,账单同步,,
2026-05-11 06:41:23,借还款,不计收支,1.00,借呗还款,余额宝,账单同步,,
2026-05-10 22:46:59,休闲玩乐,支出,30.00,开采一组源石,余额,账单同步,,
2026-05-10 22:46:35,休闲玩乐,支出,6.00,开采源石,招商银行,账单同步,,
2026-05-10 22:45:34,休闲玩乐,支出,30.00,月卡,招商银行,账单同步,,
2026-05-10 16:35:18,爱车,支出,24.00,龙湖上海北城天街-缴费（沪E18605）,招商银行,账单同步,,
2026-05-09 21:16:53,爱车,支出,18.00,龙湖上海北城天街-缴费（沪E18605）,招商银行,账单同步,,
2026-05-08 15:23:41,餐饮,支出,5.00,梅莲农贸市场停车场,招商银行,账单同步,,
2026-05-07 11:55:23,学习,支出,38.00,扫收钱码付款-给成程工作室,招商银行,账单同步,,
2026-05-06 10:19:35,投资理财,不计收支,20.00,蚂蚁财富-国泰CES半导体芯片行业ETF联接E-买入,招商银行,账单同步,,
2026-05-06 10:14:39,投资理财,不计收支,50.00,蚂蚁财富-博时中证红利低波动100指数A-买入,招商银行,账单同步,,
2026-05-06 10:14:31,投资理财,不计收支,10.00,富国上海金ETF联接C-买入,,账单同步,,
2026-05-06 10:13:56,投资理财,不计收支,30.00,蚂蚁财富-易方达中证红利ETF联接A-买入,招商银行,账单同步,,
2026-05-06 10:13:08,投资理财,不计收支,100.00,蚂蚁财富-富国中债7-10年政策性金融债ETF联接C-买入,招商银行,账单同步,,
2026-05-06 10:03:41,投资理财,不计收支,10.00,蚂蚁财富-摩根纳斯达克100指数(QDII)A-买入,招商银行,账单同步,,
2026-05-06 10:03:38,投资理财,不计收支,100.00,蚂蚁财富-摩根标普500指数(QDII)A-买入,招商银行,账单同步,,
2026-05-05 15:16:45,爱车,支出,18.00,春都路君莲场库,招商银行,账单同步,,
2026-05-05 12:43:33,其他,支出,25.00,扫收钱码付款-给快乐成长,招商银行,账单同步,,
2026-05-05 12:04:01,爱车,支出,20.00,上海联合大厦三楼停车场-停车费用-沪E18605-20260505PT310107001200000028,招商银行,账单同步,,
2026-05-04 08:23:00,公益,支出,1.00,爱心捐赠-加油木兰(月捐),余额宝,账单同步,,
2026-05-02 19:20:30,休闲玩乐,支出,80.00,张晶,招商银行,账单同步,,
2026-05-02 12:06:02,生活服务,支出,18.00,龙湖上海北城天街-缴费（*E18605）,招商银行,账单同步,,
2026-05-01 19:51:56,休闲玩乐,支出,198.00,调用凭证组合包,花呗,账单同步,,
2026-05-01 12:05:41,爱车,支出,200.00,上海宝隆（集团）有限公司加油站,招商银行,账单同步,,
2026-05-01 11:56:00,爱车,支出,8.00,沪E18605_上海宝杨宝龙悠悠临停缴费,余额宝,账单同步,,
2026-05-01 11:19:59,餐饮,支出,53.90,达美乐比萨,招商银行,账单同步,,
2026-05-01 11:15:52,休闲玩乐,支出,19.00,抖音达美乐比萨点餐商品购买,招商银行,账单同步,,
2026-05-01 10:31:21,投资理财,不计收支,10.00,余额宝-钱管家转入,余额宝|中国银行,账单同步,,
2026-04-30 05:21:03,休闲玩乐,支出,9.00,App Store & Apple Music,招商银行,账单同步,,
2026-04-29 19:04:04,餐饮,支出,11.66,麒麟 午后红茶无糖饮料 2L 日本进口,招商银行,账单同步,,
2026-04-29 09:29:56,投资理财,不计收支,50.00,蚂蚁财富-博时中证红利低波动100指数A-买入,招商银行,账单同步,,
2026-04-29 09:29:11,投资理财,不计收支,30.00,蚂蚁财富-易方达中证红利ETF联接A-买入,招商银行,账单同步,,
2026-04-29 09:28:21,投资理财,不计收支,100.00,蚂蚁财富-富国中债7-10年政策性金融债ETF联接C-买入,招商银行,账单同步,,
2026-04-29 09:12:19,投资理财,不计收支,10.00,富国上海金ETF联接C-买入,,账单同步,,
2026-04-29 09:03:25,投资理财,不计收支,20.00,蚂蚁财富-国泰CES半导体芯片行业ETF联接E-买入,招商银行,账单同步,,
2026-04-28 15:42:57,其他,支出,51.66,PSN-787057664002182,招商银行,账单同步,,
2026-04-28 11:09:21,生活服务,支出,19.50,顺丰速运散单运费,招商银行,账单同步,,
2026-04-28 09:31:02,投资理财,不计收支,10.00,蚂蚁财富-摩根纳斯达克100指数(QDII)A-买入,招商银行,账单同步,,
2026-04-28 09:30:59,投资理财,不计收支,100.00,蚂蚁财富-摩根标普500指数(QDII)A-买入,招商银行,账单同步,,
2026-04-27 20:40:37,生活服务,支出,27.00,龙湖上海北城天街-缴费（*E18605）,招商银行,账单同步,,
2026-04-27 16:43:26,餐饮,支出,26.00,兰州牛肉面上海陆翔路店,招商银行,账单同步,,
2026-04-26 23:23:53,学习,支出,21.58,【官方正版】神奇的答案之书 神秘的答案之书有趣的答案之书解析版（2024全新修订版，足足784页） 畅销92个月的神,招商银行,账单同步,,
2026-04-26 19:00:23,餐饮,支出,7.90,唯可鲜 胡萝卜卡曼橘混合果蔬汁 280ml,招商银行,账单同步,,
2026-04-26 16:19:58,生活服务,支出,24.00,龙湖上海北城天街-缴费（*E18605）,招商银行,账单同步,,
2026-04-26 12:43:08,餐饮,支出,20.00,兰州牛肉面上海陆翔路店,招商银行,账单同步,,
2026-04-26 12:06:24,爱车,支出,20.00,上海联合大厦三楼停车场-停车费用-沪E18605-20260426PT310107001200000048,招商银行,账单同步,,
2026-04-25 21:09:57,生活服务,支出,21.00,龙湖上海北城天街-缴费（*E18605）,招商银行,账单同步,,
2026-04-25 17:09:44,餐饮,支出,31.90,噜咪啦 黄金薯片系列 黑松露味薯片  鲜切薯片马铃薯,招商银行,账单同步,,
2026-04-25 12:46:32,生活服务,支出,24.00,龙湖上海北城天街-缴费（*E18605）,招商银行,账单同步,,
2026-04-25 12:20:36,餐饮,支出,15.00,扬州禾味同创餐饮管理有限公司,招商银行,账单同步,,
2026-04-25 12:18:40,餐饮,支出,24.00,扬州禾味同创餐饮管理有限公司,招商银行,账单同步,,
2026-04-24 16:05:16,医疗保健,支出,6.00,条码支付,招商银行,账单同步,,
2026-04-24 13:12:12,借还款,不计收支,295.68,信用卡还款（浦发银行尾号8739）,招商银行|浦发银行,账单同步,,
2026-04-22 18:39:01,生活服务,支出,450.00,扫收钱码付款-给优视星眼镜行,招商银行,账单同步,,
2026-04-22 10:36:49,投资理财,不计收支,60.00,蚂蚁财富-博时中证红利低波动100指数A-买入,招商银行,账单同步,,
2026-04-22 09:29:41,投资理财,不计收支,30.00,蚂蚁财富-易方达中证红利ETF联接A-买入,招商银行,账单同步,,
2026-04-22 09:28:49,投资理财,不计收支,100.00,蚂蚁财富-富国中债7-10年政策性金融债ETF联接C-买入,招商银行,账单同步,,
2026-04-22 09:13:03,投资理财,不计收支,10.00,富国上海金ETF联接C-买入,,账单同步,,
2026-04-22 09:03:04,投资理财,不计收支,21.00,蚂蚁财富-国泰CES半导体芯片行业ETF联接E-买入,招商银行,账单同步,,
2026-04-21 23:23:28,休闲玩乐,支出,6.00,米米子的照片集,招商银行,账单同步,,
2026-04-21 23:23:01,休闲玩乐,支出,6.00,维维美的照片集,招商银行,账单同步,,
2026-04-21 23:22:01,休闲玩乐,支出,24.00,变格形象组合包,招商银行,账单同步,,
2026-04-21 10:31:22,休闲玩乐,支出,5.00,《超级马力欧银河大电影》SFC上影影城（宝山店）电影票,招商银行,账单同步,,
2026-04-21 09:31:02,投资理财,不计收支,10.00,蚂蚁财富-摩根纳斯达克100指数(QDII)A-买入,招商银行,账单同步,,
2026-04-21 09:30:59,投资理财,不计收支,100.00,蚂蚁财富-摩根标普500指数(QDII)A-买入,招商银行,账单同步,,
2026-04-20 23:07:58,休闲玩乐,支出,19.80,《超级马力欧银河大电影》SFC上影影城（宝山店）电影票,招商银行,账单同步,,
2026-04-20 20:38:48,生活服务,支出,27.00,龙湖上海北城天街-缴费（*E18605）,招商银行,账单同步,,
2026-04-20 16:30:20,餐饮,支出,26.00,兰州牛肉面上海陆翔路店,招商银行,账单同步,,
2026-04-20 09:41:10,借还款,不计收支,1，073.58,自动还款-花呗|信用购2026年04月账单,招商银行|花呗,账单同步,,
2026-04-19 16:08:47,生活服务,支出,24.00,龙湖上海北城天街-缴费（*E18605）,招商银行,账单同步,,
2026-04-19 12:05:13,爱车,支出,20.00,小程序停车费支付,招商银行,账单同步,,
2026-04-18 21:17:21,生活服务,支出,21.00,龙湖上海北城天街-缴费（*E18605）,招商银行,账单同步,,
2026-04-18 12:47:41,生活服务,支出,24.00,龙湖上海北城天街-缴费（*E18605）,招商银行,账单同步,,
2026-04-18 12:16:15,餐饮,支出,38.72,杨国福(宝山陆翔路店),招商银行,账单同步,,
2026-04-16 11:14:57,学习,支出,453.86,MOONDROP 少女前线2:追放可露凯x水月雨 联名蓝牙主动降噪无线耳机,花呗,账单同步,,
2026-04-15 11:18:08,投资理财,不计收支,40.00,富国上海金ETF联接C-买入,,账单同步,,
2026-04-15 11:13:13,投资理财,不计收支,30.00,蚂蚁财富-易方达中证红利ETF联接A-买入,招商银行,账单同步,,
2026-04-15 11:12:35,投资理财,不计收支,70.00,蚂蚁财富-博时中证红利低波动100指数A-买入,招商银行,账单同步,,
2026-04-15 11:12:00,投资理财,不计收支,30.00,蚂蚁财富-易方达中证红利ETF联接A-买入,招商银行,账单同步,,
2026-04-15 11:11:01,投资理财,不计收支,70.00,蚂蚁财富-博时中证红利低波动100指数A-买入,中国工商银行,账单同步,,
2026-04-15 10:17:38,投资理财,不计收支,100.00,蚂蚁财富-摩根标普500指数(QDII)A-买入,招商银行,账单同步,,
2026-04-15 10:17:04,投资理财,不计收支,10.00,蚂蚁财富-摩根纳斯达克100指数(QDII)A-买入,招商银行,账单同步,,
2026-04-15 10:16:36,投资理财,不计收支,100.00,蚂蚁财富-富国中债7-10年政策性金融债ETF联接C-买入,招商银行,账单同步,,
2026-04-15 10:16:00,投资理财,不计收支,50.00,蚂蚁财富-国泰CES半导体芯片行业ETF联接E-买入,招商银行,账单同步,,
2026-04-15 09:39:52,生意,收入,30.00,收钱码收款-来自**瀚,,账单同步,,
2026-04-14 01:56:29,休闲玩乐,支出,6.00,iCloud 由云上贵州运营,招商银行,账单同步,,
2026-04-13 20:46:01,生活服务,支出,27.00,龙湖上海北城天街-缴费（*E18605）,招商银行,账单同步,,
2026-04-13 16:29:55,餐饮,支出,64.24,杨国福(宝山陆翔路店),招商银行,账单同步,,
2026-04-12 20:45:17,借还款,不计收支,90.39,信用卡还款（交通银行尾号6539）,招商银行|交通银行,账单同步,,
2026-04-12 16:15:17,生活服务,支出,24.00,龙湖上海北城天街-缴费（*E18605）,招商银行,账单同步,,
2026-04-12 12:06:31,爱车,支出,20.00,小程序停车费支付,招商银行,账单同步,,
2026-04-11 21:12:51,生活服务,支出,21.00,龙湖上海北城天街-缴费（*E18605）,,账单同步,,
2026-04-11 12:40:04,生活服务,支出,24.00,龙湖上海北城天街-缴费（*E18605）,招商银行,账单同步,,
2026-04-11 07:49:26,学习,支出,30.00,漫币充值,招商银行,账单同步,,
2026-04-11 06:40:24,借还款,不计收支,732.84,借呗还款,招商银行|余额宝,账单同步,,
2026-04-10 22:17:45,学习,支出,12.00,购买哔哩哔哩漫画加量包,招商银行,账单同步,,
2026-04-10 15:20:44,休闲玩乐,支出,57.87,苏州星聚汇投资管理有限公司,招商银行,账单同步,,
2026-04-10 01:18:05,休闲玩乐,支出,6.00,2025音律联觉纪念礼包,招商银行,账单同步,,
2026-04-09 22:47:30,餐饮,支出,98.00,美团,招商银行,账单同步,,
2026-04-08 09:32:11,投资理财,不计收支,100.00,蚂蚁财富-富国中债7-10年政策性金融债ETF联接C-买入,招商银行,账单同步,,
2026-04-08 09:32:01,投资理财,不计收支,10.00,蚂蚁财富-摩根纳斯达克100指数(QDII)A-买入,招商银行,账单同步,,
2026-04-08 09:31:04,投资理财,不计收支,50.00,蚂蚁财富-摩根标普500指数(QDII)A-买入,招商银行,账单同步,,
2026-04-08 09:13:37,投资理财,不计收支,10.00,富国上海金ETF联接C-买入,,账单同步,,
2026-04-08 09:06:59,投资理财,不计收支,28.00,蚂蚁财富-国泰CES半导体芯片行业ETF联接E-买入,招商银行,账单同步,,
2026-04-08 09:01:51,投资理财,不计收支,32.00,蚂蚁财富-鹏华弘利灵活配置混合C-买入,,账单同步,,
2026-04-07 19:29:29,生活日用,支出,17.00,联华超市,招商银行,账单同步,,
2026-04-07 18:46:21,休闲玩乐,支出,6.00,辟路之人寻访包,招商银行,账单同步,,
2026-04-07 18:43:20,休闲玩乐,支出,58.00,辟路之人寻访组合包,招商银行,账单同步,,
2026-04-07 18:42:35,休闲玩乐,支出,30.00,月卡,招商银行,账单同步,,
2026-04-07 00:53:51,休闲玩乐,支出,30.00,月卡,招商银行,账单同步,,
2026-04-05 19:03:02,休闲玩乐,支出,170.00,张晶,招商银行,账单同步,,
2026-04-04 16:20:38,生活服务,支出,45.00,龙湖上海北城天街-缴费（*E18605）,招商银行,账单同步,,
2026-04-04 08:23:00,公益,支出,1.00,爱心捐赠-加油木兰(月捐),招商银行,账单同步,,
2026-04-03 15:16:53,爱车,支出,9.00,VPK_G001Z001C0239_上海宝乐汇印象城_沪E18605_9.00,招商银行,账单同步,,
2026-04-03 14:21:56,生活服务,支出,50.00,为17621187771话费充值,招商银行,账单同步,,
2026-04-03 14:21:33,生活服务,支出,50.00,为13611694675话费充值,招商银行,账单同步,,
2026-04-03 14:17:28,餐饮,支出,40.00,大连农小锅餐饮管理有限公司,招商银行,账单同步,,
2026-04-03 08:36:49,爱车,支出,400.00,上海宝隆（集团）有限公司加油站,招商银行,账单同步,,
2026-04-02 12:42:26,休闲玩乐,支出,378.00,香港直邮 预约 索尼PS5游戏 识质存在 虚实万象 PRAGMATA 人机迷惘 中文,招商银行|余额宝,账单同步,,
2026-04-02 00:06:24,学习,支出,44.30,任选 新标准基础俄语 123 三册 高等教育出版社 许宏 白屹 钱琴 杜韵莎 高等学校俄语专业核心课程教材 凤凰新华,招商银行,账单同步,,
2026-04-01 11:14:51,爱车,支出,25.00,长海路停车场,招商银行,账单同步,,
2026-04-01 10:16:11,投资理财,不计收支,10.00,余额宝-钱管家转入,余额宝|中国银行,账单同步,,
2026-04-01 09:33:20,投资理财,不计收支,100.00,蚂蚁财富-富国中债7-10年政策性金融债ETF联接C-买入,招商银行,账单同步,,
2026-04-01 09:33:10,投资理财,不计收支,10.00,蚂蚁财富-摩根纳斯达克100指数(QDII)A-买入,招商银行,账单同步,,
2026-04-01 09:32:09,投资理财,不计收支,50.00,蚂蚁财富-摩根标普500指数(QDII)A-买入,招商银行,账单同步,,
2026-04-01 09:18:47,投资理财,不计收支,10.00,富国上海金ETF联接C-买入,,账单同步,,
2026-04-01 09:06:09,投资理财,不计收支,28.00,蚂蚁财富-国泰CES半导体芯片行业ETF联接E-买入,招商银行,账单同步,,
